meshblock_id,census_year_id,residents
100,1,15
200,1,99
300,1,93
400,1,45
501,1,0
502,1,36
600,1,45
700,1,57
800,1,165
900,1,24
1000,1,102
1100,1,93
1201,1,57
1202,1,0
1203,1,132
1204,1,192
1301,1,174
1302,1,237
1400,1,36
1500,1,21
1600,1,0
1700,1,6
1800,1,69
1900,1,63
2000,1,57
2100,1,0
2200,1,237
2301,1,0
2302,1,15
2303,1,99
2304,1,51
2305,1,24
2306,1,18
2400,1,144
2500,1,3
2603,1,72
2604,1,114
2605,1,66
2606,1,129
2607,1,90
2608,1,27
2609,1,69
2610,1,102
2611,1,78
2700,1,150
2800,1,63
2900,1,144
3000,1,39
3100,1,87
3200,1,141
3300,1,138
3400,1,33
3501,1,24
3502,1,27
3503,1,21
3504,1,21
3505,1,3
3506,1,36
3600,1,123
3701,1,54
3702,1,66
3800,1,183
3900,1,258
4000,1,168
4101,1,156
4102,1,180
4104,1,57
4105,1,48
4106,1,36
4107,1,30
4108,1,60
4201,1,60
4202,1,9
4203,1,6
4204,1,36
4205,1,21
4206,1,9
4207,1,9
4208,1,60
4209,1,6
4210,1,0
4301,1,117
4302,1,186
4400,1,126
4501,1,0
4502,1,3
4600,1,15
4700,1,9
4800,1,48
4900,1,213
5000,1,48
5100,1,192
5201,1,57
5202,1,21
5300,1,3
5400,1,0
5500,1,222
5600,1,279
5700,1,153
5800,1,3
5900,1,108
6000,1,69
6100,1,42
6200,1,42
6300,1,144
6400,1,39
6500,1,99
6600,1,162
6700,1,168
6800,1,69
6900,1,114
7000,1,39
7101,1,0
7102,1,9
7201,1,45
7202,1,66
7300,1,135
7400,1,36
7500,1,33
7600,1,117
7700,1,84
7801,1,21
7802,1,0
7900,1,156
8000,1,9
8100,1,0
8200,1,87
8301,1,150
8302,1,9
8401,1,66
8403,1,6
8404,1,60
8501,1,51
8502,1,96
8600,1,96
8700,1,60
8800,1,57
8901,1,0
8902,1,60
9001,1,36
9002,1,0
9101,1,165
9102,1,57
9103,1,18
9200,1,36
9300,1,66
9400,1,144
9500,1,21
9600,1,27
9700,1,84
9800,1,0
9900,1,12
10005,1,39
10006,1,42
10007,1,45
10008,1,63
10009,1,36
10010,1,57
10011,1,75
10012,1,39
10013,1,0
10014,1,0
10101,1,126
10102,1,138
10200,1,6
10300,1,12
10400,1,30
10500,1,48
10600,1,93
10700,1,306
10800,1,9
10900,1,111
11000,1,75
11100,1,39
11200,1,3
11300,1,141
11400,1,39
11500,1,3
11600,1,21
11700,1,39
11800,1,36
11900,1,75
12000,1,33
12101,1,0
12102,1,15
12103,1,69
12200,1,42
12300,1,63
12400,1,117
12500,1,45
12601,1,30
12602,1,24
12701,1,72
12702,1,129
12800,1,0
12902,1,81
12903,1,159
12904,1,180
13000,1,216
13100,1,225
13203,1,213
13204,1,54
13205,1,120
13206,1,153
13207,1,111
13300,1,282
13400,1,162
13500,1,45
13600,1,102
13700,1,102
13800,1,0
13900,1,111
14000,1,6
14100,1,24
14200,1,12
14300,1,102
14400,1,231
14500,1,18
14600,1,0
14700,1,57
14800,1,24
14900,1,141
15000,1,63
15100,1,102
15200,1,78
15300,1,195
15401,1,12
15402,1,270
15500,1,297
15600,1,174
15700,1,120
15800,1,120
15900,1,66
16000,1,60
16100,1,0
16200,1,87
16300,1,117
16400,1,12
16500,1,9
16600,1,84
16700,1,69
16800,1,45
16901,1,0
16902,1,3
17001,1,0
17003,1,0
17005,1,0
17006,1,0
17100,1,0
17200,1,0
17301,1,48
17302,1,39
17402,1,111
17403,1,63
17404,1,6
17405,1,9
17406,1,3
17407,1,3
17408,1,21
17409,1,12
17500,1,120
17600,1,96
17700,1,96
17800,1,99
17900,1,24
18000,1,6
18100,1,114
18201,1,126
18202,1,6
18203,1,12
18300,1,39
18400,1,15
18500,1,36
18600,1,21
18700,1,72
18800,1,99
18900,1,243
19000,1,9
19100,1,48
19200,1,33
19300,1,42
19400,1,150
19500,1,0
19600,1,159
19700,1,90
19801,1,129
19802,1,3
19900,1,189
20000,1,126
20100,1,0
20200,1,234
20300,1,102
20401,1,219
20402,1,210
20500,1,0
